video_id,title,description_length,publish_date,category_id,tags_count,view_count,like_count,comment_count,duration_sec,thumbnail_brightness,face_count,channel_title,subscriber_count,channel_country,upload_hour,upload_day,days_since_upload,est_views_7d,est_views_30d
Ye8NxLnh8qE,Parkhi Rahechu (Official Music Video),1373,2025-06-24T16:15:06Z,10,0,872734,61779,3352,301,69.31037808641975,0,John Rai,448000,US,16,Tuesday,8,763642,872734
fGF10RLUm1U,K Garu | Official Music Video |,1464,2024-07-29T14:32:12Z,10,5,18317536,213300,5418,391,52.409550540123455,0,John Rai,448000,US,14,Monday,338,379357,1625816
K_XcqhPtmzo,"Hawa Jastai - John Chamling Rai | Official Music Video | Starring Sujan Zimba, Dixu & Himanshu |",1958,2023-06-30T10:15:11Z,10,17,27908401,320411,13720,410,79.51584297839506,1,John Rai,448000,US,10,Friday,733,266519,1142226
M_AeBRELg4w,NIHITA (निहित),466,2022-06-08T12:13:59Z,10,18,25827008,140333,1998,187,18.92322723765432,1,John Rai,448000,US,12,Wednesday,1120,161418,691794
FRled0BaA_Q,Malai Jitnu Xa (PUBG MOBILE Nepal ft. John Rai),1778,2025-04-27T14:24:36Z,10,27,188905,21709,1161,202,51.9614274691358,2,John Rai,448000,US,14,Sunday,66,20035,85865
i6bI8MRkxBc,Farkanna Hola ( Official Lyrical Video ) Prod. by Tunna Bell Thapa #shotoniphone,1526,2023-10-13T11:20:17Z,10,18,21031499,128166,2271,225,15.612818287037037,0,John Rai,448000,US,11,Friday,628,234427,1004689
omp-XZ_X7wo,John Chamling - Samaya Ley,338,2023-12-07T11:15:09Z,10,18,2910510,55086,1008,187,50.86687885802469,0,John Rai,448000,US,11,Thursday,573,35555,152382
nVJJ_ivgELA,Putali | The Elements (Lyrical video),1986,2020-04-07T13:15:13Z,10,0,13938912,91803,943,271,133.79896604938273,0,The Elements,130000,NP,13,Tuesday,1912,51031,218706
txmLqITl1h8,Urja | The Elements,3869,2022-04-23T03:15:10Z,10,0,1902064,28989,578,242,158.32159143518518,0,The Elements,130000,NP,3,Saturday,1167,11409,48896
y8himFW553M,Tyaag | The Elements,1141,2023-02-11T03:15:09Z,10,0,1770240,28016,720,246,33.072737268518516,0,The Elements,130000,NP,3,Saturday,873,14194,60832
me8guS2gYyI,Upahar | The Elements,1151,2023-04-22T03:51:08Z,10,0,1766874,22219,570,249,177.60702546296295,0,The Elements,130000,NP,3,Saturday,803,15402,66010
Sc1OI1i-Kgs,"APARIBHASIT | SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",1866,2022-04-05T13:15:12Z,10,15,23660037,171983,4938,287,78.92772955246913,0,Swar,192000,NP,13,Tuesday,1184,139881,599494
oGFn8MI3Bmo,BADAL SARI || SWAR X JOHN RAI X Cr7horaa @swapnilsharmasings Dir by:@RohitShakya,2087,2024-11-20T16:15:07Z,10,22,12979214,278568,10593,385,66.8489988425926,2,Swar,192000,NP,16,Wednesday,224,405600,1738287
lsqbpw67hSs,"MA MARE PANI| SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",1307,2025-03-21T16:15:07Z,10,17,7045711,89306,3073,333,78.28238425925926,1,Swar,192000,NP,16,Friday,103,478834,2052148
-JhZOeTXwrg,"UDIRAHECHAN | SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",1490,2024-04-20T08:53:17Z,10,21,3679648,38138,1241,344,101.42119405864197,0,Swar,192000,NP,8,Saturday,438,58807,252030
UZqN1QT0ZXs,"BISTARAI  | SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",1458,2023-02-10T14:15:10Z,10,18,3222793,41437,1452,300,76.90735725308642,2,Swar,192000,NP,14,Friday,873,25841,110748
XYMCRw_6PRA,Maya Ma,152,2025-04-14T15:19:43Z,10,2,207212,4579,169,287,118.90446180555556,0,Swar - Topic,1400,,15,Monday,79,18360,78688
HVxeyJoY1lk,"Aunla Haru | SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",725,2023-05-20T02:15:10Z,10,27,914109,17055,602,289,63.85478009259259,0,Swar,192000,NP,2,Saturday,775,8256,35384
kz6pELQncyw,"K PAYE | SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",1195,2022-06-11T03:15:14Z,10,15,1385088,23502,1342,200,25.907756558641974,1,Swar,192000,NP,3,Saturday,1118,8672,37166
g6ygdCjHoak,"Sansaar || Swar || Swapnil Sharma, Rohit Shakya and Gautam Tandukar",871,2024-06-14T12:45:07Z,10,12,2374972,33073,1291,277,66.15965277777778,0,Swar,192000,NP,12,Friday,383,43406,186029
dYngnREoIEY,Bistarai Live 2025: A Musical Journey Like Never Before!,184,2025-04-03T18:31:29Z,10,17,5657,249,25,139,32.68332175925926,0,Swar,192000,NP,18,Thursday,90,439,1885
-JhZOeTXwrg,"UDIRAHECHAN | SWAR | Swapnil Sharma, Rohit Shakya & Gautam Tandukar",1490,2024-04-20T08:53:17Z,10,21,3679648,38138,1241,344,101.42119405864197,0,Swar,192000,NP,8,Saturday,438,58807,252030
BcKBAl3dOGA,SWAR - Aparibhasit Live at Golden Retriever Studios |  Swapnil Sharma & Rohit Shakya |,721,2022-12-07T05:20:12Z,10,20,1167224,14689,550,323,63.31816550925926,1,Swar,192000,NP,5,Wednesday,939,8701,37291
Ju04VnTdkEA,Sahara | Rockheads | Official teaser,821,2025-06-22T12:58:06Z,10,0,22015,2657,194,29,56.966383101851854,0,Rockheads Nepal,178000,NP,12,Sunday,10,15410,22015
i4LKULh4wEw,BHAWANA | Rockheads | Official Music Video,1664,2024-10-30T12:15:07Z,10,0,7463172,85322,1900,321,65.62845486111111,1,Rockheads Nepal,178000,NP,12,Wednesday,245,213233,913857
uXN6wT9Qz18,DHUN | Rockheads | Official Music Video,1939,2024-03-20T15:45:07Z,10,0,6123686,58515,1716,359,75.40975694444444,0,Rockheads Nepal,178000,NP,15,Wednesday,469,91398,391706
RL7Y3wAMOlg,RANGA Extended -  Rockheads,1024,2023-12-23T14:15:10Z,10,0,1498848,13189,242,292,38.611099537037035,0,Rockheads Nepal,178000,NP,14,Saturday,557,18836,80727
NsCP-IdSW1k,ROCKHEADS | For my love,2336,2023-10-05T13:15:10Z,10,0,747624,13804,390,276,100.19466820987654,2,Rockheads Nepal,178000,NP,13,Thursday,636,8228,35265
m4Tj1EfRKlg,Hajar Janma | Rockheads Nepal | Official Music Video,1711,2023-06-03T17:15:08Z,10,29,15895439,142698,2304,343,46.384863040123456,0,Rockheads Nepal,178000,NP,17,Saturday,760,146405,627451
U5syMIJ5JRA,ROCKHEADS | RANGA |,1494,2021-06-22T11:15:13Z,22,5,31512560,195874,3593,246,64.08556327160494,0,Rockheads Nepal,178000,NP,11,Tuesday,1471,149957,642676
ALtgiWtA_VM,Khola Kharey (raw),1361,2025-06-21T13:15:06Z,10,0,222423,25329,971,214,7.839845679012345,0,Purna Rai,518000,NP,13,Saturday,11,141541,222423
5yuuRveinFc,Purna Rai and Dajubhaiharu | Maya Ma (माया म),891,2025-05-03T17:02:49Z,10,0,5659892,159237,4702,380,20.269608410493827,0,Purna Rai,518000,NP,17,Saturday,60,660320,2829946
